elements,formula,id,class,dipole,atomic_e_neg,atomic_masses,atomic_num_e,atomic_rad,atomic_vdw_rad,atomic_vol,atomic_ionization,atomic_e_affinity,atomic_dipole_polarizability,atomic_cov_rad,atomoic_nvalence,atomic_hardness,weights,evac,evacdiff,dipz,efermi,gap,vbm,cbm,gap_dir,gap_dir_nosoc,gap_nosoc,workfunction,vbm_hse,cbm_hse,gap_dir_hse,gap_hse,ehull,hform,cell_area,spgnum,lgnum,emass_vb_dir1,emass_vb_dir2,emass_cb_dir1,emass_cb_dir2,alphax_lat,alphay_lat,alphaz_lat,alphax,alphay,alphaz,minhessianeig,alphax_el,alphay_el,alphaz_el,speed_of_sound_x,speed_of_sound_y,c_11,c_12,c_13,c_21,c_22,c_23,c_31,c_32,c_33,energy,free_energy,vbm_gw,cbm_gw,gap_dir_gw,gap_gw,mass,num_electron,avg_e_neg_pauling,num_atoms,num_e_avg,num_e_max_dif,num_e_std,vdw_rad_avg,vdw_rad_max_dif,vdw_rad_std,atomic_rad_avg,atomic_rad_max_dif,atomic_rad_std,atomic_vol_avg,atomic_vol_max_dif,atomic_vol_std,e_affinity_avg,e_affinity_max_dif,e_affinity_std,e_neg_avg,e_neg_max_dif,e_neg_std,dipole_polarizability_avg,dipole_polarizability_max_dif,dipole_polarizability_std,cov_rad_avg,cov_rad_max_dif,cov_rad_std,nvalence_avg,nvalence_max_dif,nvalence_std,hardness_avg,hardness_max_dif,hardness_std,ionization_avg,ionization_max_dif,ionization_std,dipole_avg,ionization_total,lattice,positions,numbers,sine coulomb matrix eig 0,sine coulomb matrix eig 1,sine coulomb matrix eig 2,sine coulomb matrix eig 3,sine coulomb matrix eig 4,sine coulomb matrix eig 5,sine coulomb matrix eig 6,sine coulomb matrix eig 7,composition,pc1_soap,pc2_soap,SHG 0.4-0.9eV_x,SHG 0.4-0.9eV_y,SHG 0.9 -1.6eV_x,SHG 0.9 -1.6eV_y,SHG 1.6-2.1eV_x,SHG 1.6-2.1eV_y,Direction
"['Bi', 'Cl', 'Se']",BiClSe,5199,MXY Janus,"[1.90164696, -1.09791638, 0.08359723]","[1.9, 3.16, 2.55]","[208.9804, 35.45, 78.971]","[83, 17, 34]","[160.0, 100.0, 115.0]","[206.99999999999997, 175.0, 190.0]","[21.3, 18.7, 16.5]","[7.285516, 12.96763, 9.752392]","[0.942362, 3.612725, 2.02067]","[48.0, 14.6, 28.9]","[148.0, 102.0, 120.0]","[5, 7, 6]","[3.171577, 4.677452499999999, 3.865861]","[1, 1, 1]",3.499839073,1.076112115,0.083597227,-2.703018233,1.235102827,-3.320569646,-2.08546682,1.339713902,2.572922299,2.260045116,6.202857307,-3.80292424,-1.810999953,2.102112516,1.991924288,0.119489313,-0.561467965,14.0571089,156,69,-1.455478054,-0.518075723,-9.076797744,0.29071709,9.54296675,9.531174078,1.186528368,13.02627583,13.01448316,1.589879582,-4.72E-14,3.483309079,3.483309079,0.403351214,2846.989475,2846.161181,30.96468739,18.93733339,0.069540567,18.90758564,30.94667248,0.069592512,1.29E-14,0,12.49891279,-11.62648447,-11.62648447,-4.321352005,-1.709528847,2.708192095,2.611823158,323.3934,134,2.576666667,3,44.66666667,66,27.9801517,190.6666667,32,13.0724477,125,60,25.49509757,18.83333333,4.8,1.961858529,2.536666667,2.670363,1.096875655,2.191919,1.26,0.51447924,30.5,33.4,13.68234873,123.3333333,46,18.92675942,6,2,0.816496581,3.9049635,1.5058755,0.615392563,10.001846,5.682114,2.326410017,0.295775937,30.005538,"[[4.028864755736374, -1.1765505040113506e-18, 0.0], [-2.014432377868188, 3.489099226879488, 0.0], [-7.044351167017472e-17, 0.0, 18.232485982860293]]","[[-3.19500679898129e-17, -2.0741190115161571e-16, 9.212126015045143], [2.0144323778681863, 1.163033075626496, 10.890517141208104], [2.0144323778681863, 1.163033075626496, 7.333578912540721]]","[83, 34, 17]",20176.98508,444.8047471,2368.148785,0,0,0,0,0,Bi1 Cl1 Se1,1.466399679,-9.718130676,0.895,1.338,1.547,8.521,1.605,7.43,yyy = -xxy = -yxx = -xyx
"['Bi', 'Cl', 'Se']",BiClSe,6248,MXY Janus,"[0.5467096, -0.31564293, 0.0503044]","[1.9, 3.16, 2.55]","[208.9804, 35.45, 78.971]","[83, 17, 34]","[160.0, 100.0, 115.0]","[206.99999999999997, 175.0, 190.0]","[21.3, 18.7, 16.5]","[7.285516, 12.96763, 9.752392]","[0.942362, 3.612725, 2.02067]","[48.0, 14.6, 28.9]","[148.0, 102.0, 120.0]","[5, 7, 6]","[3.171577, 4.677452499999999, 3.865861]","[1, 1, 1]",3.038244718,0.611462212,0.050304404,-3.100353712,0.850771441,-3.525739432,-2.674967991,0.959311693,1.909383123,1.64216213,6.13859843,-3.974028059,-2.465000883,1.628459955,1.509027176,0,-0.680957278,14.8866867,156,69,-1.373219826,-1.069447669,-23.89388615,0.211300432,12.13554648,11.53113358,1.514908347,15.76270474,15.15829184,1.89147731,-2.75E-15,3.627158262,3.627158262,0.376568962,3029.566112,3034.533072,33.10959025,7.570926715,0.091985298,7.47415118,33.21824528,0.087420766,0,0,23.98453487,-11.98495241,-11.98495241,-4.541277137,-2.338999343,2.369718942,2.202277794,323.3934,134,2.576666667,3,44.66666667,66,27.9801517,190.6666667,32,13.0724477,125,60,25.49509757,18.83333333,4.8,1.961858529,2.536666667,2.670363,1.096875655,2.191919,1.26,0.51447924,30.5,33.4,13.68234873,123.3333333,46,18.92675942,6,2,0.816496581,3.9049635,1.5058755,0.615392563,10.001846,5.682114,2.326410017,0.093790357,30.005538,"[[4.146042106414861, -2.0902805082223652e-18, 0.0], [-2.0730210532074307, 3.5905777893152133, 0.0], [5.70108563457234e-18, 0.0, 19.5]]","[[2.811418811982922e-18, 2.1443734287487097e-16, 9.795577859378382], [2.0730210532074302, 1.1968592631050712, 11.370834086524182], [-6.222736502216813e-17, 2.3937185262101424, 8.084883056317114]]","[83, 34, 17]",20172.93651,2368.715088,448.2870117,0,0,0,0,0,Bi1 Cl1 Se1,1.029874335,-9.711705427,0.895,1.338,1.547,8.521,1.605,7.43,yyy = -xxy = -yxx = -xyx
"['Bi', 'Cl', 'Te']",BiClTe,7297,MXY Janus,"[1.42824171, -0.82459573, 0.08744287]","[1.9, 3.16, 2.1]","[208.9804, 35.45, 127.6]","[83, 17, 52]","[160.0, 100.0, 140.0]","[206.99999999999997, 175.0, 206.0]","[21.3, 18.7, 20.5]","[7.285516, 12.96763, 9.00966]","[0.942362, 3.612725, 1.9708759999999999]","[48.0, 14.6, 38.0]","[148.0, 102.0, 138.0]","[5, 7, 6]","[3.171577, 4.677452499999999, 3.5193920000000003]","[1, 1, 1]",3.06650145,0.986470603,0.087442871,-2.648960777,0.599499779,-2.948710667,-2.349210888,0.599499779,1.809453235,1.769856211,5.715462227,-3.325396702,-2.127121938,1.198274763,1.198274763,0.009706359,-0.597850398,16.03990983,156,69,-0.300808056,-0.292879169,0.119811595,5.768357684,12.18571007,12.20854868,2.608646085,16.60165105,16.62448966,3.005867955,-5.83E-15,4.415940985,4.415940985,0.397221869,2807.687138,2796.89967,30.3614859,6.950890608,-0.004883684,7.058460624,30.12862921,-0.008038574,0,0,24.18142789,-11.45763787,-11.45763787,-3.821389196,-2.085092636,1.73629656,1.73629656,372.0334,152,2.426666667,3,50.66666667,66,26.96087701,196,32,14.8548533,133.3333333,60,24.94438258,20.16666667,2.6,1.087300429,2.386666667,2.670363,1.099714495,2.175321,1.26,0.55289139,33.53333333,33.4,13.9965075,129.3333333,46,19.75404319,6,2,0.816496581,3.789473833,1.5058755,0.643751196,9.754268667,5.682114,2.37871624,0.23036295,29.262806,"[[4.303637126234903, 1.8486689606122583e-18, 0.0], [-2.1518185631174513, 3.727059079989283, 0.0], [2.7563856251816527e-18, 0.0, 19.5]]","[[1.3275751888209395e-18, -2.776055777109065e-17, 9.697276046691663], [2.151818563117451, 1.2423530266630942, 11.464879696613833], [-5.811448845431527e-17, 2.4847060533261884, 8.088250783486036]]","[83, 52, 17]",20177.37319,6562.397268,448.5837146,0,0,0,0,0,Bi1 Cl1 Te1,1.2147087,-9.088807665,0.893,2.523,1.472,7.785,1.997,7.077,yyy = -xxy = -yxx = -xyx
"['Bi', 'Cl', 'Te']",BiClTe,8346,MXY Janus,"[2.55565855, -1.47551015, 0.12940494]","[1.9, 3.16, 2.1]","[208.9804, 35.45, 127.6]","[83, 17, 52]","[160.0, 100.0, 140.0]","[206.99999999999997, 175.0, 206.0]","[21.3, 18.7, 20.5]","[7.285516, 12.96763, 9.00966]","[0.942362, 3.612725, 1.9708759999999999]","[48.0, 14.6, 38.0]","[148.0, 102.0, 138.0]","[5, 7, 6]","[3.171577, 4.677452499999999, 3.5193920000000003]","[1, 1, 1]",3.538646408,1.546576988,0.129404936,-2.130579422,0.530681918,-2.395920381,-1.865238463,0.530681918,2.275311312,1.847025182,5.669225831,-2.748456469,-1.597051243,1.151405226,1.151405226,0.139166248,-0.468390509,15.14052585,156,69,-0.168415533,-0.167786027,0.151957891,1.687028715,10.35456521,10.39287164,2.544841022,14.66836034,14.70666677,2.97245642,-3.05E-13,4.313795127,4.313795127,0.427615399,2647.816509,2619.46797,28.60634236,14.09329496,0.094389177,14.54094844,27.99708046,0.100258373,0,0,14.10038996,-11.0692582,-11.0692582,-3.234781977,-1.558929566,1.67585241,1.67585241,372.0334,152,2.426666667,3,50.66666667,66,26.96087701,196,32,14.8548533,133.3333333,60,24.94438258,20.16666667,2.6,1.087300429,2.386666667,2.670363,1.099714495,2.175321,1.26,0.55289139,33.53333333,33.4,13.9965075,129.3333333,46,19.75404319,6,2,0.816496581,3.789473833,1.5058755,0.643751196,9.754268667,5.682114,2.37871624,0.403184447,29.262806,"[[4.181240647762534, 2.1113225100608874e-17, 0.0], [-2.0906203238812675, 3.6210606202984565, 0.0], [-2.3360879907606647e-16, 0.0, 18.232485982860293]]","[[-1.1447614432257836e-16, 1.0734992261161005e-15, 9.131861405061246], [2.090620323881266, 1.2070202067661522, 10.997624520851753], [2.090620323881266, 1.2070202067661522, 7.307596147249282]]","[83, 52, 17]",20207.34834,6533.428214,447.5776139,0,0,0,0,0,Bi1 Cl1 Te1,1.463752352,-9.090548474,0.893,2.523,1.472,7.785,1.997,7.077,yyy = -xxy = -yxx = -xyx
"['Bi', 'I', 'S']",BiIS,1004,MXY Janus,"[2.88621097, -1.66635468, -0.01204314]","[1.9, 2.66, 2.58]","[208.9804, 126.90447, 32.06]","[83, 53, 16]","[160.0, 140.0, 100.0]","[206.99999999999997, 198.0, 180.0]","[21.3, 25.7, 15.5]","[7.285516, 10.45126, 10.36001]","[0.942362, 3.0590368, 2.07710403]","[48.0, 32.9, 19.4]","[148.0, 139.0, 105.0]","[5, 7, 6]","[3.171577, 3.6961116, 4.141452985000001]","[1, 1, 1]",3.756916598,-0.150644393,-0.012043135,-1.87814377,0.401052907,-2.078670223,-1.677617317,0.434960189,2.169539989,1.563251539,5.635060368,-2.607390875,-1.429153163,1.231985397,1.178237712,0.139647936,-0.286723105,14.46599314,156,69,-0.251004683,-0.250909679,-7.211665813,0.328002723,13132.34604,8717.075312,13.69893893,13136.45267,8721.181939,14.14682917,-2.83E-14,4.106626593,4.106626593,0.447890243,2761.675265,2763.052143,32.21282465,19.1725173,-0.001149253,19.07975442,32.2449531,-0.001165398,0,0,13.25017764,-11.09084457,-11.09084458,-3.074191887,-1.341266739,1.73799196,1.732925148,367.94987,152,2.42,3,50.66666667,67,27.40235189,195,27,11.22497216,133.3333333,60,24.94438258,20.83333333,10.2,4.177186719,2.38,2.1166748,0.86487916,2.02616761,0.76,0.340978983,33.43333333,28.6,11.68198994,130.6666667,43,18.51725922,6,2,0.816496581,3.669713862,0.969875985,0.396389949,9.365595333,3.165744,1.471309885,0.402604383,28.096786,"[[4.087039278492224, -1.1070382063252595e-17, 0.0], [-2.043519639246113, 3.5394798414390722, 0.0], [-1.0366392444429037e-17, 0.0, 18.232485982860293]]","[[5.863649805809211e-19, 7.399544762670718e-16, 9.422515843282756], [2.043519639246111, 1.179826613813024, 10.898814505488135], [2.043519639246111, 1.179826613813024, 7.1154305188484495]]","[83, 16, 53]",20175.13541,6872.279552,387.3588844,0,0,0,0,0,Bi1 I1 S1,-14.00924916,-12.42510912,0.893,3.202,1.159,15.83,1.606,13.636,yyy = -xxy = -yxx = -xyx
"['Bi', 'I', 'S']",BiIS,2053,MXY Janus,"[-1.4247605, 0.82258586, -0.03425168]","[1.9, 2.66, 2.58]","[208.9804, 126.90447, 32.06]","[83, 53, 16]","[160.0, 140.0, 100.0]","[206.99999999999997, 198.0, 180.0]","[21.3, 25.7, 15.5]","[7.285516, 10.45126, 10.36001]","[0.942362, 3.0590368, 2.07710403]","[48.0, 32.9, 19.4]","[148.0, 139.0, 105.0]","[5, 7, 6]","[3.171577, 3.6961116, 4.141452985000001]","[1, 1, 1]",3.283309366,-0.407062384,-0.034251681,-2.539025749,0.7774808,-2.927766149,-2.150285349,0.826736242,2.20671523,1.923300064,5.822335115,-3.403710466,-1.929736487,1.602316965,1.473973979,0.014378675,-0.411992365,15.2258862,156,69,-0.329413738,-0.327676079,0.430884417,22.12382873,22.00026279,22.04154665,0.829938365,26.47667782,26.51796168,1.251606728,-3.49E-14,4.476415029,4.476415029,0.421668363,2918.872162,2916.480679,34.18845006,9.393600945,0.081484168,9.39281173,34.13245063,0.009483909,0,0,21.57042627,-11.46665235,-11.46665235,-3.904698463,-1.862720153,2.175262714,2.04197831,367.94987,152,2.42,3,50.66666667,67,27.40235189,195,27,11.22497216,133.3333333,60,24.94438258,20.83333333,10.2,4.177186719,2.38,2.1166748,0.86487916,2.02616761,0.76,0.340978983,33.43333333,28.6,11.68198994,130.6666667,43,18.51725922,6,2,0.816496581,3.669713862,0.969875985,0.396389949,9.365595333,3.165744,1.471309885,-0.212142107,28.096786,"[[4.193010731088459, -7.829130855184582e-19, 0.0], [-2.0965053655442296, 3.6312538114633672, 0.0], [-4.147856109464531e-18, 0.0, 19.5]]","[[-2.1640821099162064e-18, -2.124821773013968e-16, 10.034940450241832], [2.096505365544229, 1.2104179371544557, 11.365948443267486], [-7.41015097155399e-17, 2.4208358743089113, 7.850712520157522]]","[83, 16, 53]",20180.73106,6866.212919,387.8298625,0,0,0,0,0,Bi1 I1 S1,-13.984675,-12.3794111,0.893,3.202,1.159,15.83,1.606,13.636,yyy = -xxy = -yxx = -xyx
"['Bi', 'I', 'Se']",BiISe,4151,MXY Janus,"[3.17549033, -1.8333702, 0.01826904]","[1.9, 2.66, 2.55]","[208.9804, 126.90447, 78.971]","[83, 53, 34]","[160.0, 140.0, 115.0]","[206.99999999999997, 198.0, 190.0]","[21.3, 25.7, 16.5]","[7.285516, 10.45126, 9.752392]","[0.942362, 3.0590368, 2.02067]","[48.0, 32.9, 28.9]","[148.0, 139.0, 120.0]","[5, 7, 6]","[3.171577, 3.6961116, 3.865861]","[1, 1, 1]",3.772478614,0.220505412,0.018269039,-1.779447984,0.43302849,-1.995962229,-1.562933739,0.470979264,2.150045277,1.718513289,5.551926597,-2.522758741,-1.333547396,1.240577142,1.189211345,0.114474857,-0.32833261,14.99194925,156,69,-0.278439007,-0.278386444,0.276755193,32.01257227,1.57382281,1.557747977,2.503835152,6.136194121,6.120119288,2.971022184,-1.03E-14,4.562371311,4.562371311,0.467187032,2549.303713,2547.228528,29.86285901,16.20701985,-0.005360891,16.17458079,29.81426084,-0.005354083,0,0,14.1222987,-10.62040959,-10.6204096,-2.94590957,-1.258799275,1.687110295,1.687110295,414.84487,170,2.41,3,56.66666667,49,20.17148703,198.3333333,17,6.944222219,138.3333333,45,18.40893503,21.16666667,9.2,3.757067414,2.37,2.1166748,0.864180149,2.007356267,0.76,0.335360503,36.6,19.1,8.224759368,135.6666667,28,11.6714276,6,2,0.816496581,3.577849867,0.694284,0.295518692,9.163056,3.165744,1.35793261,0.453463057,27.489168,"[[4.16067444828903, -2.6131887240802504e-17, 0.0], [-2.0803372241445155, 3.603249769095104, 0.0], [8.622869188032371e-17, 0.0, 18.232485982860293]]","[[4.8115682500975544e-17, -4.902765759163451e-16, 9.365203154931345], [2.0803372241445146, 1.2010832563650347, 10.987135226795797], [2.0803372241445146, 1.2010832563650347, 7.084495345052559]]","[83, 34, 53]",20176.40195,6943.273344,2295.826079,0,0,0,0,0,Bi1 I1 Se1,-13.75817931,-11.98222177,0.896,5.212,1.349,16.081,1.609,12.775,yyy = -xxy = -yxx = -xyx
"['Bi', 'I', 'Se']",BiISe,5200,MXY Janus,"[-0.94507969, 0.54564201, -0.00708358]","[1.9, 2.66, 2.55]","[208.9804, 126.90447, 78.971]","[83, 53, 34]","[160.0, 140.0, 115.0]","[206.99999999999997, 198.0, 190.0]","[21.3, 25.7, 16.5]","[7.285516, 10.45126, 9.752392]","[0.942362, 3.0590368, 2.02067]","[48.0, 32.9, 28.9]","[148.0, 139.0, 120.0]","[5, 7, 6]","[3.171577, 3.6961116, 3.865861]","[1, 1, 1]",3.302302025,-0.081084115,-0.007083575,-2.40262475,0.607278882,-2.706264191,-2.098985309,0.770829116,2.001168317,1.630338568,5.704926775,-3.121201375,-1.905529147,1.403087762,1.215672228,0,-0.442807466,15.80805291,156,69,-13.13254764,-0.473047351,0.275927642,11.05214791,17.21156939,15.85105711,1.531172862,22.17551307,20.81500079,1.971601179,-3.68E-15,4.963943682,4.963943682,0.440428317,2674.111268,2663.529083,31.16211293,7.543113821,0.013655662,7.620666582,30.91596703,0.013387989,0,0,21.27297693,-10.96383416,-10.96383417,-3.584382358,-1.812586863,1.88758182,1.771795495,414.84487,170,2.41,3,56.66666667,49,20.17148703,198.3333333,17,6.944222219,138.3333333,45,18.40893503,21.16666667,9.2,3.757067414,2.37,2.1166748,0.864180149,2.007356267,0.76,0.335360503,36.6,19.1,8.224759368,135.6666667,28,11.6714276,6,2,0.816496581,3.577849867,0.694284,0.295518692,9.163056,3.165744,1.35793261,-0.135507087,27.489168,"[[4.272419362734476, -2.1313959554668946e-18, 0.0], [-2.136209681367238, 3.7000237037485784, 0.0], [2.0611642326958394e-17, 0.0, 19.5]]","[[8.82646077527239e-18, -1.9201986375591275e-16, 9.967646433845278], [2.1362096813672378, 1.2333412345828596, 11.46146897735713], [-5.964077338399301e-17, 2.466682469165719, 7.819722249799324]]","[83, 34, 53]",20184.99876,6862.826276,2367.676331,0,0,0,0,0,Bi1 I1 Se1,-13.73919649,-11.94745113,0.896,5.212,1.349,16.081,1.609,12.775,yyy = -xxy = -yxx = -xyx
"['Bi', 'I', 'Te']",BiITe,6249,MXY Janus,"[-0.00673426, 0.00388803, 0.03483752]","[1.9, 2.66, 2.1]","[208.9804, 126.90447, 127.6]","[83, 53, 52]","[160.0, 140.0, 140.0]","[206.99999999999997, 198.0, 206.0]","[21.3, 25.7, 20.5]","[7.285516, 10.45126, 9.00966]","[0.942362, 3.0590368, 1.9708759999999999]","[48.0, 32.9, 38.0]","[148.0, 139.0, 138.0]","[5, 7, 6]","[3.171577, 3.6961116, 3.5193920000000003]","[1, 1, 1]",3.325395482,0.372270886,0.034837518,-2.126903356,0.412484367,-2.333145539,-1.920661172,0.54886567,1.870377353,1.501908539,5.452298838,-2.668822068,-1.740034353,1.070028236,0.928787715,0.003332438,-0.370827431,16.93361956,156,69,-0.920021781,-0.507267814,0.150271626,104.4143761,15.48470101,15.48020468,3.066828146,21.15068048,21.14618415,3.530653154,-1.83E-14,5.66597947,5.66597947,0.463825008,2460.002571,2456.546576,27.50464067,6.15687622,0.13764051,6.144062589,27.42741383,0.09626727,0,0,19.84987457,-10.46990015,-10.46990016,-3.118002219,-1.698982031,1.563162131,1.419020188,463.48487,188,2.26,3,62.66666667,31,14.38363267,203.6666667,9,4.027681991,146.6666667,20,9.428090416,22.5,5.2,2.286190427,2.22,2.1166748,0.864243226,1.990758267,0.76,0.321662349,39.63333333,15.1,6.271806403,141.6666667,10,4.496912521,6,2,0.816496581,3.4623602,0.5245346,0.217904576,8.915478667,3.165744,1.29412425,0.010663763,26.746436,"[[4.421906786339973, 2.008655286463536e-18, 0.0], [-2.2109533931699863, 3.829483610137224, 0.0], [3.862777070182643e-17, 0.0, 19.5]]","[[1.9578982959764114e-17, 1.0292789080468949e-16, 9.872734764640995], [2.210953393169986, 1.276494536712408, 11.575339185111577], [-5.399106140123252e-17, 2.552989073424816, 7.802141623974051]]","[83, 52, 53]",20195.88785,6925.737919,6492.291161,0,0,0,0,0,Bi1 I1 Te1,-13.39927866,-11.31414727,0.896,5.452,,,,,yyy = -xxy = -yxx = -xyx
"['Bi', 'I', 'Te']",BiITe,7298,MXY Janus,"[3.77888641, -2.18174109, 0.06296775]","[1.9, 2.66, 2.1]","[208.9804, 126.90447, 127.6]","[83, 53, 52]","[160.0, 140.0, 140.0]","[206.99999999999997, 198.0, 206.0]","[21.3, 25.7, 20.5]","[7.285516, 10.45126, 9.00966]","[0.942362, 3.0590368, 1.9708759999999999]","[48.0, 32.9, 38.0]","[148.0, 139.0, 138.0]","[5, 7, 6]","[3.171577, 3.6961116, 3.5193920000000003]","[1, 1, 1]",3.808877772,0.713001791,0.062967755,-1.52317966,0.34597867,-1.696168995,-1.350190325,0.349282491,2.034593822,1.661567708,5.332057432,-2.134450579,-1.13930678,1.022772782,0.995143799,0.113368026,-0.260791843,15.9804589,156,69,-0.221811777,-0.221665225,-3.590063377,0.15798333,7.74551791,7.727536669,1.521621699,13.09531476,13.07733352,2.016029161,-9.89E-15,5.349796852,5.349796852,0.494407463,2350.126638,2365.025359,26.59977332,12.90095077,0.002345255,12.5754767,26.93810299,0.000438865,0,0,14.31081342,-10.13979339,-10.13979339,-2.526947135,-1.125294814,1.401652321,1.401652321,463.48487,188,2.26,3,62.66666667,31,14.38363267,203.6666667,9,4.027681991,146.6666667,20,9.428090416,22.5,5.2,2.286190427,2.22,2.1166748,0.864243226,1.990758267,0.76,0.321662349,39.63333333,15.1,6.271806403,141.6666667,10,4.496912521,6,2,0.816496581,3.4623602,0.5245346,0.217904576,8.915478667,3.165744,1.29412425,0.553371023,26.746436,"[[4.295654141142433, -2.1022291104585896e-18, 0.0], [-2.1478270705712172, 3.720145612101172, 0.0], [-2.465845481019657e-17, 0.0, 18.232485982860293]]","[[-8.427822408098962e-18, 1.0301902786301137e-15, 9.284608760625657], [2.147827070571216, 1.2400485373670573, 11.105402772559382], [2.147827070571216, 1.2400485373670573, 7.045895248844312]]","[83, 52, 53]",20194.07792,9020.614265,4399.224745,0,0,0,0,0,Bi1 I1 Te1,-13.40866361,-11.33048605,0.896,5.452,,,,,yyy = -xxy = -yxx = -xyx
"['B', 'N']",BN,5031,,"[-0.503800926, 0.290869601, -2.81639115e-15]","[2.04, 3.04]","[10.81, 14.007]","[5, 7]","[85.0, 65.0]","[192.0, 155.0]","[4.6, 17.3]","[8.298019, 14.53413]","[0.279723, -1.4]","[20.5, 7.4]","[84.0, 71.0]","[3, 5]","[4.009148, 7.967065]","[1, 1]",2.176736425,-9.34E-14,-2.82E-15,-1.3106545,4.666851528,-3.644080264,1.022771263,4.666851528,4.666910141,4.666910141,3.487390925,-4.456138378,1.219310912,6.128754467,5.67544929,0,-1.292174034,5.457207452,187,78,-0.642292794,-0.642194239,0.933464088,0.933655772,0.476982751,0.478893465,0.017958078,1.43732339,1.439234104,0.170362114,-6.14E-11,0.96034064,0.96034064,0.152404036,19636.72722,19635.37245,291.1830711,66.03319307,-0.000600783,65.99295033,291.1428942,-0.001722152,0,0,225.155385,-17.64154434,-17.64154434,-5.497125405,1.619580178,7.738495769,7.116705583,24.8177,12,2.54,2,6,2,1,173.5,37,18.5,75,20,10,10.95,12.7,6.35,2.54,1.679723,0.8398615,-0.5601385,1,0.5,13.95,13.1,6.55,77.5,13,6.5,4,2,1,5.9881065,3.957917,1.9789585,11.4160745,6.236111,3.1180555,-0.070977108,22.832149,"[[2.5102669943090916, 0.0, 0.0], [-1.2551334971545458, 2.17395498735328, 0.0], [0.0, 0.0, 15.0]]","[[2.220446049250313e-16, 1.4493033249021867, 7.5], [1.2551334971545458, 0.7246516624510934, 7.5]]","[5, 7]",18.62321534,58.53116629,0,0,0,0,0,0,B1 N1,-11.08725939,-7.757069226,0.888,0.096,1.588,0.115,2.091,0.33,yyy = -xxy = -yxx = -xyx
"['B', 'P']",BP,6080,,"[1.17292076, -0.677186114, -9.94512587e-15]","[2.04, 2.19]","[10.81, 30.973761998]","[5, 15]","[85.0, 100.0]","[192.0, 180.0]","[4.6, 17.0]","[8.298019, 10.486686]","[0.279723, 0.746607]","[20.5, 25.0]","[84.0, 107.0]","[3, 5]","[4.009148, 4.870039500000001]","[1, 1]",2.276369868,-2.01E-13,-9.95E-15,-2.401969416,0.898202962,-2.851070897,-1.952867935,0.898202962,0.898356271,0.898356271,4.678339284,-3.081722698,-1.720005809,1.361716889,1.361716889,0.381728165,-0.02939137,8.9560214,187,78,-0.179373917,-0.179371817,0.190487395,0.190490269,0.147339328,0.148020665,7.21E-05,4.978867195,4.979548532,0.195586447,-6.35E-13,4.831527867,4.831527867,0.195514363,13721.7992,13721.07551,145.8692086,39.53000835,-0.002360569,39.5228392,145.8538226,-0.001642501,0,0,106.3674798,-12.12801677,-12.12801732,-3.580741418,-1.778765067,1.801976351,1.801976351,41.784762,20,2.115,2,10,10,5,186,12,6,92.5,15,7.5,10.8,12.4,6.2,2.115,0.466884,0.233442,0.513165,0.15,0.075,22.75,4.5,2.25,95.5,23,11.5,4,2,1,4.43959375,0.8608915,0.43044575,9.3923525,2.188667,1.0943335,0.165244882,18.784705,"[[3.215823803012487, 0.0, 0.0], [-1.6079119015062435, 2.7849851075034984, 0.0], [0.0, 0.0, 15.0]]","[[0.0, 1.8566567383356654, 7.5], [1.6079119015062442, 0.9283283691678327, 7.5]]","[5, 15]",23.13818939,333.0023905,0,0,0,0,0,0,B1 P1,-11.01953992,-7.664543184,0.475,18.376,0.91,9.686,1.778,1.771,yyy = -xxy = -yxx = -xyx
